config,fitness,distance,datapoints,eval_id
"[0, 0, 0, 1, 1, 0, 3, 0, 5, 3, 1, 0, 0, 3]",0.7368044055363191,3.0,43.0,1.0
"[0, 0, 0, 1, 0, 0, 3, 3, 5, 3, 1, 0, 0, 3]",0.6192698156774781,1.0,18.0,2.0
"[0, 0, 0, 1, 1, 0, 3, 3, 5, 3, 0, 0, 0, 3]",0.81489711877501,1.0,33.0,3.0
"[0, 0, 0, 1, 1, 0, 3, 3, 5, 3, 1, 0, 0, 3]",0.7822829898329411,0.0,36.0,4.0
"[0, 0, 4, 1, 1, 0, 3, 3, 5, 3, 1, 0, 0, 3]",0.7113898343682781,4.0,75.0,5.0
"[0, 0, 0, 1, 1, 0, 3, 3, 5, 3, 1, 0, 2, 3]",0.778752428874237,2.0,39.0,6.0
"[0, 0, 0, 1, 1, 0, 3, 3, 5, 3, 1, 0, 0, 6]",0.8057998641250511,3.0,36.0,7.0
"[0, 0, 0, 1, 1, 0, 6, 3, 5, 3, 1, 0, 0, 3]",0.7896063612796731,3.0,38.0,8.0
"[0, 0, 0, 0, 1, 0, 3, 3, 5, 3, 1, 0, 0, 3]",0.8031585299118621,1.0,38.0,9.0
"[0, 0, 0, 1, 1, 0, 3, 3, 5, 3, 1, 0, 2, 3]",0.7791569795060581,2.0,40.0,10.0
"[0, 0, 0, 4, 1, 0, 3, 3, 5, 3, 1, 0, 0, 3]",0.7652007031827761,3.0,40.0,11.0
"[0, 0, 0, 1, 1, 0, 3, 3, 5, 3, 1, 0, 0, 3]",0.7745308285196231,0.0,39.0,12.0
"[0, 0, 0, 1, 1, 0, 3, 3, 5, 3, 1, 0, 0, 2]",0.7738337807697521,1.0,40.0,13.0
"[0, 0, 0, 1, 1, 0, 3, 3, 4, 3, 1, 0, 0, 3]",0.773629388953306,1.0,34.0,14.0
"[0, 0, 0, 1, 1, 0, 4, 3, 5, 3, 1, 0, 0, 3]",0.778987826874172,1.0,41.0,15.0
"[0, 0, 0, 1, 8, 0, 3, 3, 5, 3, 1, 0, 0, 3]",0.7783809246101571,7.0,40.0,16.0
"[0, 0, 0, 1, 1, 0, 3, 3, 5, 3, 1, 1, 0, 3]",0.7183889234670151,1.0,23.0,17.0
"[0, 0, 0, 1, 1, 0, 3, 3, 5, 3, 1, 0, 0, 3]",0.7698513307032371,0.0,37.0,18.0
"[0, 0, 0, 1, 2, 0, 3, 3, 5, 3, 1, 0, 0, 3]",0.7807650049754441,1.0,36.0,19.0
"[0, 0, 0, 3, 1, 0, 3, 3, 5, 3, 1, 0, 0, 3]",0.7743294050813321,2.0,39.0,20.0
"[0, 0, 0, 1, 1, 0, 3, 3, 6, 3, 1, 0, 0, 3]",0.7743247405079611,1.0,43.0,21.0
"[0, 0, 0, 1, 1, 0, 6, 3, 5, 3, 1, 0, 0, 3]",0.773171431727616,3.0,39.0,22.0
"[0, 0, 0, 1, 1, 0, 3, 3, 5, 3, 0, 0, 0, 3]",0.8145958599195361,1.0,34.0,23.0
"[0, 0, 0, 1, 1, 0, 5, 3, 5, 3, 1, 0, 0, 3]",0.7770994953194891,2.0,39.0,24.0
